Word,Synonym
śrī-bhagavānuvāca,the Supreme Personality of Godhead said
akṣaram,indestructible
brahma,Brahman
paramam,transcendental
svabhāvaḥ,eternal nature
adhyātmam,the self
ucyate,is called
bhūta-bhāva-udbhava-karaḥ,producing the material bodies of the living entities
visargaḥ,creation
karma,fruitive activities
saṁjñitaḥ,is called.
adhibhūtam,the physical manifestation
kṣaraḥ,constantly changing
bhāvaḥ,nature
puruṣaḥ,"the universal form, including all the demigods, like the sun and moon"
ca,and
adhidaivatam,calledadhidaiva
adhiyajñaḥ,the Supersoul
aham,I (Kṛṣṇa)
eva,certainly
atra,in this
dehe,body
deha-bhṛtām,of the embodied
vara,O best.
anta-kāle,at the end of life
ca,also
mām,Me
eva,certainly
smaran,remembering
muktvā,quitting
kalevaram,the body
yaḥ,he who
prayāti,goes
saḥ,he
mat-bhāvam,My nature
yāti,achieves
na,not
asti,there is
atra,here
saṁśayaḥ,doubt.
yamyam,whatever
vāapi,at all
smaran,remembering
bhāvam,nature
tyajati,gives up
ante,at the end
kalevaram,this body
tamtam,similar
eva,certainly
eti,gets
kaunteya,O son of Kuntī
sadā,always
tat,that
bhāva,state of being
bhāvitaḥ,remembering.
tasmāt,therefore
sarveṣu,at all
kāleṣu,times
mām,Me
anusmara,go on remembering
yudhya,fight
ca,also
mayi,unto Me
arpita,surrendering
manaḥ,mind
buddhiḥ,intellect
mām,unto Me
eva,surely
eṣyasi,you will attain
asaṁśayaḥ,beyond a doubt.
abhyāsa-yoga,in the practice of meditation
yuktena,being engaged
cetasā,by the mind and intelligence
naanya-gāminā,without their being deviated
paramam,the Supreme
puruṣam,Personality of Godhead
divyam,transcendental
yāti,one achieves
pārtha,O son of Pṛthā
anucintayan,constantly thinking of.
kavim,the one who knows everything
purāṇam,the oldest
anuśāsitāram,the controller
aṇoḥ,than the atom
aṇīyāṁsam,smaller
anusmaret,always thinks of
yaḥ,one who
sarvasya,of everything
dhātāram,the maintainer
acintya,inconceivable
rūpam,whose form
āditya-varṇam,luminous like the sun
tamasaḥ,to darkness
parastāt,transcendental.
prayāṇa-kāle,at the time of death
manasā,by the mind
acalena,without its being deviated
bhaktyā,in full devotion
yuktaḥ,engaged
yoga-balena,by the power of mysticyoga
ca,also
eva,certainly
bhruvoḥ,the two eyebrows
madhye,between
prāṇam,the life air
āveśya,establishing
samyak,completely
saḥ,he
tam,that
param,transcendental
puruṣam,Personality of Godhead
upaiti,achieves
divyam,in the spiritual kingdom.
yat,that which
akṣaram,syllableoṁ
veda-vidaḥ,persons conversant with theVedas
vadanti,say
viśanti,enter
yat,in which
yatayaḥ,great sages
vīta-rāgāḥ,in the renounced order of life
yat,that which
icchantaḥ,desiring
brahma-caryam,celibacy
caranti,practice
tat,that
te,unto you
padam,situation
saṅgraheṇa,in summary
pravakṣye,I shall explain.
sarva-dvārāṇi,all the doors of the body
saṁyamya,controlling
manaḥ,the mind
hṛdi,in the heart
nirudhya,confining
ca,also
mūrdhni,on the head
ādhāya,fixing
ātmanaḥ,of the soul
prāṇam,the life air
āsthitaḥ,situated in
yoga-dhāraṇām,the yogic situation.
oṁ,the combination of lettersoṁ(oṁ-kāra)
iti,thus
eka-akṣaram,the one syllable
brahma,absolute
vyāharan,vibrating
mām,Me (Kṛṣṇa)
anusmaran,remembering
yaḥ,anyone who
prayāti,leaves
tyajan,quitting
deham,this body
saḥ,he
yāti,achieves
paramām,the supreme
gatim,destination.
ananya-cetāḥ,without deviation of the mind
satatam,always
yaḥ,anyone who
mām,Me (Kṛṣṇa)
smarati,remembers
nityaśaḥ,regularly
tasya,to him
aham,I am
su-labhaḥ,very easy to achieve
pārtha,O son of Pṛthā
nitya,regularly
yuktasya,engaged
yoginaḥ,for the devotee.
mām,Me
upetya,achieving
punaḥ,again
janma,birth
duḥkha-ālayam,place of miseries
aśāśvatam,temporary
na,never
āpnuvanti,attain
mahā-ātmānaḥ,the great souls
saṁsiddhim,perfection
paramām,ultimate
gatāḥ,having achieved.
ā-brahma-bhuvanāt,up to the Brahmaloka planet
lokāḥ,the planetary systems
punaḥ,again
āvartinaḥ,returning
arjuna,O Arjuna
mām,unto Me
upetya,arriving
tu,but
kaunteya,O son of Kuntī
punaḥjanma,rebirth
na,never
vidyate,takes place.
sahasra,one thousand
yuga,millenniums
paryantam,including
ahaḥ,day
yat,that which
brahmaṇaḥ,of Brahmā
viduḥ,they know
rātrim,night
yuga,millenniums
sahasra-antām,"similarly, ending after one thousand"
te,they
ahaḥ-rātra,day and night
vidaḥ,who understand
janāḥ,people.
avyaktāt,from the unmanifest
vyaktayaḥ,living entities
sarvāḥ,all
prabhavanti,become manifest
ahaḥ-āgame,at the beginning of the day
rātri-āgame,at the fall of night
pralīyante,are annihilated
tatra,into that
eva,certainly
avyakta,the unmanifest
saṁjñake,which is called.
bhūta-grāmaḥ,the aggregate of all living entities
saḥ,these
eva,certainly
ayam,this
bhūtvābhūtvā,repeatedly taking birth
pralīyate,is annihilated
rātri,of night
āgame,on the arrival
avaśaḥ,automatically
pārtha,O son of Pṛthā
prabhavati,is manifest
ahaḥ,of daytime
āgame,on the arrival.
paraḥ,transcendental
tasmāt,to that
tu,but
bhāvaḥ,nature
anyaḥ,another
avyaktaḥ,unmanifest
avyaktāt,to the unmanifest
sanātanaḥ,eternal
yaḥsaḥ,that which
sarveṣu,all
bhūteṣu,manifestation
naśyatsu,being annihilated
na,never
vinaśyati,is annihilated.
avyaktaḥ,unmanifested
akṣaraḥ,infallible
iti,thus
uktaḥ,is said
tam,that
āhuḥ,is known
paramām,the ultimate
gatim,destination
yam,which
prāpya,gaining
na,never
nivartante,come back
tat,that
dhāma,abode
paramam,supreme
mama,My.
puruṣaḥ,the Supreme Personality
saḥ,He
paraḥ,"the Supreme, than whom no one is greater"
pārtha,O son of Pṛthā
bhaktyā,by devotional service
labhyaḥ,can be achieved
tu,but
ananyayā,"unalloyed, undeviating"
yasya,whom
antaḥ-sthāni,within
bhūtāni,all of this material manifestation
yena,by whom
sarvam,all
idam,whatever we can see
tatam,is pervaded.
yatra,at which
kāle,time
tu,and
anāvṛttim,no return
āvṛttim,return
ca,also
eva,certainly
yoginaḥ,different kinds of mystics
prayātāḥ,having departed
yānti,attain
tam,that
kālam,time
vakṣyāmi,I shall describe
bharata-ṛṣabha,O best of the Bhāratas.
agniḥ,fire
jyotiḥ,light
ahaḥ,day
śuklaḥ,the white fortnight
ṣaṭ-māsāḥ,the six months
uttara-ayanam,when the sun passes on the northern side
tatra,there
prayātāḥ,those who pass away
gacchanti,go
brahma,to the Absolute
brahma-vidaḥ,who know the Absolute
janāḥ,persons.
dhūmaḥ,smoke
rātriḥ,night
tathā,also
kṛṣṇaḥ,the fortnight of the dark moon
ṣaṭ-māsāḥ,the six months
dakṣiṇa-ayanam,when the sun passes on the southern side
tatra,there
cāndramasam,the moon planet
jyotiḥ,the light
yogī,the mystic
prāpya,achieving
nivartate,comes back.
śukla,light
kṛṣṇe,and darkness
gatī,ways of passing
hi,certainly
ete,these two
jagataḥ,of the material world
śāśvate,of theVedas
mate,in the opinion
ekayā,by one
yāti,goes
anāvṛttim,to no return
anyayā,by the other
āvartate,comes back
punaḥ,again.
na,never
ete,these two
sṛtī,different paths
pārtha,O son of Pṛthā
jānan,even if he knows
yogī,the devotee of the Lord
muhyati,is bewildered
kaścana,any
tasmāt,therefore
sarveṣukāleṣu,always
yoga-yuktaḥ,engaged in Kṛṣṇa consciousness
bhava,just become
arjuna,O Arjuna.
vedeṣu,in the study of theVedas
yajñeṣu,"in the performances ofyajña,sacrifice"
tapaḥsu,in undergoing different types of austerities
ca,also
eva,certainly
dāneṣu,in giving charities
yat,that which
puṇya-phalam,result of pious work
pradiṣṭam,indicated
atyeti,surpasses
tatsarvam,all those
idam,this
viditvā,knowing
yogī,the devotee
param,supreme
sthānam,abode
upaiti,achieves
ca,also
ādyam,original.
śrī-bhagavānuvāca,the Supreme Personality of Godhead said
idam,this
tu,but
te,unto you
guhya-tamam,the most confidential
pravakṣyāmi,I am speaking
anasūyave,to the nonenvious
jñānam,knowledge
vijñāna,realized knowledge
sahitam,with
yat,which
jñātvā,knowing
mokṣyase,you will be released
aśubhāt,from this miserable material existence.
rāja-vidyā,the king of education
rāja-guhyam,the king of confidential knowledge
pavitram,the purest
idam,this
uttamam,transcendental
pratyakṣa,by direct experience
avagamam,understood
dharmyam,the principle of religion
su-sukham,very happy
kartum,to execute
avyayam,everlasting.
aśraddadhānāḥ,those who are faithless
puruṣāḥ,such persons
dharmasya,toward the process of religion
asya,this
param-tapa,O killer of the enemies
aprāpya,without obtaining
mām,Me
nivartante,come back
mṛtyu,of death
saṁsāra,in material existence
vartmani,on the path.
mayā,by Me
tatam,pervaded
idam,this
sarvam,all
jagat,cosmic manifestation
avyakta-mūrtinā,by the unmanifested form
mat-sthāni,in Me
sarva-bhūtāni,all living entities
na,not
ca,also
aham,I
teṣu,in them
avasthitaḥ,situated.
na,never
ca,also
mat-sthāni,situated in Me
bhūtāni,all creation
paśya,just see
me,My
yogamaiśvaram,inconceivable mystic power
bhūta-bhṛt,the maintainer of all living entities
na,never
ca,also
bhūta-sthaḥ,in the cosmic manifestation
mama,My
ātmā,Self
bhūta-bhāvanaḥ,the source of all manifestations.
yathā,just as
ākāśa-sthitaḥ,situated in the sky
nityam,always
vāyuḥ,the wind
sarvatra-gaḥ,blowing everywhere
mahān,great
tathā,similarly
sarvāṇibhūtāni,all created beings
mat-sthāni,situated in Me
iti,thus
upadhāraya,try to understand.
sarva-bhūtāni,all created entities
kaunteya,O son of Kuntī
prakṛtim,nature
yānti,enter
māmikām,My
kalpa-kṣaye,at the end of the millennium
punaḥ,again
tāni,all those
kalpa-ādau,in the beginning of the millennium
visṛjāmi,create
aham,I.
prakṛtim,the material nature
svām,of My personal Self
avaṣṭabhya,entering into
visṛjāmi,I create
punaḥpunaḥ,again and again
bhūta-grāmam,all the cosmic manifestations
imam,these
kṛtsnam,in total
avaśam,automatically
prakṛteḥ,of the force of nature
vaśāt,under obligation.
na,never
ca,also
mām,Me
tāni,all those
karmāṇi,activities
nibadhnanti,bind
dhanam-jaya,O conqueror of riches
udāsīna-vat,as neutral
āsīnam,situated
asaktam,without attraction
teṣu,for those
karmasu,activities.
mayā,by Me
adhyakṣeṇa,by superintendence
prakṛtiḥ,material nature
sūyate,manifests
sa,both
cara-acaram,the moving and the nonmoving
hetunā,for the reason
anena,this
kaunteya,O son of Kuntī
jagat,the cosmic manifestation
viparivartate,is working.
avajānanti,deride
mām,Me
mūḍhāḥ,foolish men
mānuṣīm,in a human form
tanum,a body
āśritam,assuming
param,transcendental
bhāvam,nature
ajānantaḥ,not knowing
mama,My
bhūta,of everything that be
mahā-īśvaram,the supreme proprietor.
mogha-āśāḥ,baffled in their hopes
mogha-karmāṇaḥ,baffled in fruitive activities
mogha-jñānāḥ,baffled in knowledge
vicetasaḥ,bewildered
rākṣasīm,demonic
āsurīm,atheistic
ca,and
eva,certainly
prakṛtim,nature
mohinīm,bewildering
śritāḥ,taking shelter of.
mahā-ātmānaḥ,the great souls
tu,but
mām,unto Me
pārtha,O son of Pṛthā
daivīm,divine
prakṛtim,nature
āśritāḥ,having taken shelter of
bhajanti,render service
ananya-manasaḥ,without deviation of the mind
jñātvā,knowing
bhūta,of creation
ādim,the origin
avyayam,inexhaustible.
satatam,always
kīrtayantaḥ,chanting
mām,about Me
yatantaḥ,fully endeavoring
ca,also
dṛḍha-vratāḥ,with determination
namasyantaḥ,offering obeisances
ca,and
mām,Me
bhaktyā,in devotion
nitya-yuktāḥ,perpetually engaged
upāsate,worship.
jñāna-yajñena,by cultivation of knowledge
ca,also
api,certainly
anye,others
yajantaḥ,sacrificing
mām,Me
upāsate,worship
ekatvena,in oneness
pṛthaktvena,in duality
bahudhā,in diversity
viśvataḥ-mukham,and in the universal form.
aham,I
kratuḥ,Vedic ritual
aham,I
yajñaḥ,smṛtisacrifice
svadhā,oblation
aham,I
aham,I
auṣadham,healing herb
mantraḥ,transcendental chant
aham,I
aham,I
eva,certainly
ājyam,melted butter
aham,I
agniḥ,fire
aham,I
hutam,offering.
pitā,father
aham,I
asya,of this
jagataḥ,universe
mātā,mother
dhātā,supporter
pitāmahaḥ,grandfather
vedyam,what is to be known
pavitram,that which purifies
oṁ-kāra,the syllableoṁ
ṛk,theṚg Veda
sāma,theSāma Veda
yajuḥ,theYajur Veda
eva,certainly
ca,and.
gatiḥ,goal
bhartā,sustainer
prabhuḥ,Lord
sākṣī,witness
nivāsaḥ,abode
śaraṇam,refuge
su-hṛt,most intimate friend
prabhavaḥ,creation
pralayaḥ,dissolution
sthānam,ground
nidhānam,resting place
bījam,seed
avyayam,imperishable.
tapāmi,give heat
aham,I
aham,I
varṣam,rain
nigṛhṇāmi,withhold
utsṛjāmi,send forth
ca,and
amṛtam,immortality
ca,and
eva,certainly
mṛtyuḥ,death
ca,and
sat,spirit
asat,matter
ca,and
aham,I
arjuna,O Arjuna.
trai-vidyāḥ,the knowers of the threeVedas
mām,Me
soma-pāḥ,drinkers ofsomajuice
pūta,purified
pāpāḥ,of sins
yajñaiḥ,with sacrifices
iṣṭvā,worshiping
svaḥ-gatim,passage to heaven
prārthayante,pray for
te,they
puṇyam,pious
āsādya,attaining
sura-indra,of Indra
lokam,the world
aśnanti,enjoy
divyān,celestial
divi,in heaven
deva-bhogān,the pleasures of the gods.
te,they
tam,that
bhuktvā,having enjoyed
svarga-lokam,heaven
viśālam,vast
kṣīṇe,being exhausted
puṇye,the results of their pious activities
martya-lokam,to the mortal earth
viśanti,fall down
evam,thus
trayī,of the threeVedas
dharmam,doctrines
anuprapannāḥ,following
gata-āgatam,death and birth
kāma-kāmāḥ,desiring sense enjoyments
labhante,attain.
ananyāḥ,having no other object
cintayantaḥ,concentrating
mām,on Me
ye,those who
janāḥ,persons
paryupāsate,properly worship
teṣām,of them
nitya,always
abhiyuktānām,fixed in devotion
yoga,requirements
kṣemam,protection
vahāmi,carry
aham,I.
ye,those who
api,also
anya,of other
devatā,gods
bhaktāḥ,devotees
yajante,worship
śraddhayāanvitāḥ,with faith
te,they
api,also
mām,Me
eva,only
kaunteya,O son of Kuntī
yajanti,they worship
avidhi-pūrvakam,in a wrong way.
aham,I
hi,surely
sarva,of all
yajñānām,sacrifices
bhoktā,the enjoyer
ca,and
prabhuḥ,the Lord
eva,also
ca,and
na,not
tu,but
mām,Me
abhijānanti,they know
tattvena,in reality
ataḥ,therefore
cyavanti,fall down
te,they.
yānti,go
deva-vratāḥ,worshipers of demigods
devān,to the demigods
pitṝn,to the ancestors
yānti,go
pitṛ-vratāḥ,worshipers of ancestors
bhūtāni,to the ghosts and spirits
yānti,go
bhūta-ijyāḥ,worshipers of ghosts and spirits
yānti,go
mat,My
yājinaḥ,devotees
api,but
mām,unto Me.
patram,a leaf
puṣpam,a flower
phalam,a fruit
toyam,water
yaḥ,whoever
me,unto Me
bhaktyā,with devotion
prayacchati,offers
tat,that
aham,I
bhakti-upahṛtam,offered in devotion
aśnāmi,accept
prayata-ātmanaḥ,from one in pure consciousness.
yat,whatever
karoṣi,you do
yat,whatever
aśnāsi,you eat
yat,whatever
juhoṣi,you offer
dadāsi,you give away
yat,whatever
yat,whatever
tapasyasi,austerities you perform
kaunteya,O son of Kuntī
tat,that
kuruṣva,do
mat,unto Me
arpaṇam,as an offering.
śubha,from auspicious
aśubha,and inauspicious
phalaiḥ,results
evam,thus
mokṣyase,you will become free
karma,of work
bandhanaiḥ,from the bondage
sannyāsa,of renunciation
yoga,theyoga
yukta-ātmā,having the mind firmly set on
vimuktaḥ,liberated
mām,to Me
upaiṣyasi,you will attain.
samaḥ,equally disposed
aham,I
sarva-bhūteṣu,to all living entities
na,no one
me,to Me
dveṣyaḥ,hateful
asti,is
na,nor
priyaḥ,dear
ye,those who
bhajanti,render transcendental service
tu,but
mām,unto Me
bhaktyā,in devotion
mayi,are in Me
te,such persons
teṣu,in them
ca,also
api,certainly
aham,I.
api,even
cet,if
su-durācāraḥ,one committing the most abominable actions
bhajate,is engaged in devotional service
mām,unto Me
ananya-bhāk,without deviation
sādhuḥ,a saint
eva,certainly
saḥ,he
mantavyaḥ,is to be considered
samyak,completely
vyavasitaḥ,situated in determination
hi,certainly
saḥ,he.
kṣipram,very soon
bhavati,becomes
dharma-ātmā,righteous
śaśvat-śāntim,lasting peace
nigacchati,attains
kaunteya,O son of Kuntī
pratijānīhi,declare
na,never
me,My
bhaktaḥ,devotee
praṇaśyati,perishes.
mām,of Me
hi,certainly
pārtha,O son of Pṛthā
vyapāśritya,particularly taking shelter
ye,those who
api,also
syuḥ,are
pāpa-yonayaḥ,born of a lower family
striyaḥ,women
vaiśyāḥ,mercantile people
tathā,also
śūdrāḥ,lower-class men
teapi,even they
yānti,go
parām,to the supreme
gatim,destination.
kim,how much
punaḥ,again
brāhmaṇāḥ,brāhmaṇas
puṇyāḥ,righteous
bhaktāḥ,devotees
rāja-ṛṣayaḥ,saintly kings
tathā,also
anityam,temporary
asukham,full of miseries
lokam,planet
imam,this
prāpya,gaining
bhajasva,be engaged in loving service
mām,unto Me.
mat-manāḥ,always thinking of Me
bhava,become
mat,My
bhaktaḥ,devotee
mat,My
yājī,worshiper
mām,unto Me
namas-kuru,offer obeisances
mām,unto Me
eva,completely
eṣyasi,you will come
yuktvā,being absorbed
evam,thus
ātmānam,your soul
mat-parāyaṇaḥ,devoted to Me.
śrī-bhagavānuvāca,the Supreme Personality of Godhead said
bhūyaḥ,again
eva,certainly
mahā-bāho,O mighty-armed
śṛṇu,just hear
me,My
paramam,supreme
vacaḥ,instruction
yat,that which
te,to you
aham,I
prīyamāṇāya,thinking you dear to Me
vakṣyāmi,say
hita-kāmyayā,for your benefit.
na,never
me,My
viduḥ,know
sura-gaṇāḥ,the demigods
prabhavam,"origin, opulences"
na,never
mahā-ṛṣayaḥ,great sages
aham,I am
ādiḥ,the origin
hi,certainly
devānām,of the demigods
mahā-ṛṣīṇām,of the great sages
ca,also
sarvaśaḥ,in all respects.
yaḥ,anyone who
mām,Me
ajam,unborn
anādim,without beginning
ca,also
vetti,knows
loka,of the planets
mahā-īśvaram,the supreme master
asammūḍhaḥ,undeluded
saḥ,he
martyeṣu,among those subject to death
sarva-pāpaiḥ,from all sinful reactions
pramucyate,is delivered.
arjunaḥuvāca,Arjuna said
mat-anugrahāya,just to show me favor
paramam,supreme
guhyam,confidential subject
adhyātma,spiritual
saṁjñitam,in the matter of
yat,what
tvayā,by You
uktam,said
vacaḥ,words
tena,by that
mohaḥ,illusion
ayam,this
vigataḥ,is removed
mama,my.
bhava,appearance
apyayau,disappearance
hi,certainly
bhūtānām,of all living entities
śrutau,have been heard
vistaraśaḥ,in detail
mayā,by me
tvattaḥ,from You
kamala-patra-akṣa,O lotus-eyed one
māhātmyam,glories
api,also
ca,and
avyayam,inexhaustible.
evam,thus
etat,this
yathā,as it is
āttha,have spoken
tvam,You
ātmānam,Yourself
parama-īśvara,O Supreme Lord
draṣṭum,to see
icchāmi,I wish
te,Your
rūpam,form
aiśvaram,divine
puruṣa-uttama,O best of personalities.
manyase,You think
yadi,if
tat,that
śakyam,is able
mayā,by me
draṣṭum,to be seen
iti,thus
prabho,O Lord
yoga-īśvara,O Lord of all mystic power
tataḥ,then
me,unto me
tvam,You
darśaya,show
ātmānam,Your Self
avyayam,eternal.
śrī-bhagavānuvāca,the Supreme Personality of Godhead said
paśya,just see
me,My
pārtha,O son of Pṛthā
rūpāṇi,forms
śataśaḥ,hundreds
atha,also
sahasraśaḥ,thousands
nānā-vidhāni,variegated
divyāni,divine
nānā,variegated
varṇa,colors
ākṛtīni,forms
ca,also.
paśya,see
ādityān,the twelve sons of Aditi
vasūn,the eight Vasus
rudrān,the eleven forms of Rudra
aśvinau,the two Aśvinīs
marutaḥ,the forty-nine Maruts (demigods of the wind)
tathā,also
bahūni,many
adṛṣṭa,that you have not seen
pūrvāṇi,before
paśya,see
āścaryāṇi,all the wonders
bhārata,O best of the Bhāratas.
iha,in this
eka-stham,in one place
jagat,the universe
kṛtsnam,completely
paśya,see
adya,immediately
sa,with
cara,the moving
acaram,and not moving
mama,My
dehe,in this body
guḍākeśa,O Arjuna
yat,that which
ca,also
anyat,other
draṣṭum,to see
icchasi,you wish.
na,never
tu,but
mām,Me
śakyase,are able
draṣṭum,to see
anena,with these
eva,certainly
sva-cakṣuṣā,your own eyes
divyam,divine
dadāmi,I give
te,to you
cakṣuḥ,eyes
paśya,see
me,My
yogamaiśvaram,inconceivable mystic power.
sañjayaḥuvāca,Sañjaya said
evam,thus
uktvā,saying
tataḥ,thereafter
rājan,O King
mahā-yoga-īśvaraḥ,the most powerful mystic
hariḥ,"the Supreme Personality of Godhead, Kṛṣṇa"
darśayāmāsa,showed
pārthāya,unto Arjuna
paramam,the divine
rūpamaiśvaram,universal form.
arjunaḥuvāca,Arjuna said
evam,thus
satata,always
yuktāḥ,engaged
ye,those who
bhaktāḥ,devotees
tvām,You
paryupāsate,properly worship
ye,those who
ca,also
api,again
akṣaram,beyond the senses
avyaktam,the unmanifested
teṣām,of them
ke,who
yoga-vit-tamāḥ,the most perfect in knowledge ofyoga.
śrī-bhagavānuvāca,the Supreme Personality of Godhead said
mayi,upon Me
āveśya,fixing
manaḥ,the mind
ye,those who
mām,Me
nitya,always
yuktāḥ,engaged
upāsate,worship
śraddhayā,with faith
parayā,transcendental
upetāḥ,endowed
te,they
me,by Me
yukta-tamāḥ,most perfect inyoga
matāḥ,are considered.
śrī-bhagavānuvāca,the Supreme Personality of Godhead said
param,transcendental
bhūyaḥ,again
pravakṣyāmi,I shall speak
jñānānām,of all knowledge
jñānam,knowledge
uttamam,the supreme
yat,which
jñātvā,knowing
munayaḥ,the sages
sarve,all
parām,transcendental
siddhim,perfection
itaḥ,from this world
gatāḥ,attained.
idam,this
jñānam,knowledge
upāśritya,taking shelter of
mama,My
sādharmyam,same nature
āgatāḥ,having attained
sargeapi,even in the creation
na,never
upajāyante,are born
pralaye,in the annihilation
na,nor
vyathanti,are disturbed
ca,also.
mama,My
yoniḥ,source of birth
mahat,the total material existence
brahma,supreme
tasmin,in that
garbham,pregnancy
dadhāmi,create
aham,I
sambhavaḥ,the possibility
sarva-bhūtānām,of all living entities
tataḥ,thereafter
bhavati,becomes
bhārata,O son of Bharata.
sarva-yoniṣu,in all species of life
kaunteya,O son of Kuntī
mūrtayaḥ,forms
sambhavanti,they appear
yāḥ,which
tāsām,of all of them
brahma,the supreme
mahatyoniḥ,source of birth in the material substance
aham,I
bīja-pradaḥ,the seed-giving
pitā,father.
sattvam,the mode of goodness
rajaḥ,the mode of passion
tamaḥ,the mode of ignorance
iti,thus
guṇāḥ,the qualities
prakṛti,material nature
sambhavāḥ,produced of
nibadhnanti,do condition
mahā-bāho,O mighty-armed one
dehe,in this body
dehinam,the living entity
avyayam,eternal.
tatra,there
sattvam,the mode of goodness
nirmalatvāt,being purest in the material world
prakāśakam,illuminating
anāmayam,without any sinful reaction
sukha,with happiness
saṅgena,by association
badhnāti,conditions
jñāna,with knowledge
saṅgena,by association
ca,also
anagha,O sinless one.
rajaḥ,the mode of passion
rāga-ātmakam,born of desire or lust
viddhi,know
tṛṣṇā,with hankering
saṅga,association
samudbhavam,produced of
tat,that
nibadhnāti,binds
kaunteya,O son of Kuntī
karma-saṅgena,by association with fruitive activity
dehinam,the embodied.
tamaḥ,the mode of ignorance
tu,but
ajñāna-jam,produced of ignorance
viddhi,know
mohanam,the delusion
sarva-dehinām,of all embodied beings
pramāda,with madness
ālasya,indolence
nidrābhiḥ,and sleep
tat,that
nibadhnāti,binds
bhārata,O son of Bharata.
sattvam,the mode of goodness
sukhe,in happiness
sañjayati,binds
rajaḥ,the mode of passion
karmaṇi,in fruitive activity
bhārata,O son of Bharata
jñānam,knowledge
āvṛtya,covering
tu,but
tamaḥ,the mode of ignorance
pramāde,in madness
sañjayati,binds
uta,it is said.
rajaḥ,the mode of passion
tamaḥ,the mode of ignorance
ca,also
abhibhūya,surpassing
sattvam,the mode of goodness
bhavati,becomes prominent
bhārata,O son of Bharata
rajaḥ,the mode of passion
sattvam,the mode of goodness
tamaḥ,the mode of ignorance
ca,also
eva,like that
tamaḥ,the mode of ignorance
sattvam,the mode of goodness
rajaḥ,the mode of passion
tathā,thus.
sarva-dvāreṣu,in all the gates
deheasmin,in this body
prakāśaḥ,the quality of illumination
upajāyate,develops
jñānam,knowledge
yadā,when
tadā,at that time
vidyāt,know
vivṛddham,increased
sattvam,the mode of goodness
itiuta,thus it is said.
lobhaḥ,greed
pravṛttiḥ,activity
ārambhaḥ,endeavor
karmaṇām,in activities
aśamaḥ,uncontrollable
spṛhā,desire
rajasi,of the mode of passion
etāni,all these
jāyante,develop
vivṛddhe,when there is an excess
bharata-ṛṣabha,O chief of the descendants of Bharata.
aprakāśaḥ,darkness
apravṛttiḥ,inactivity
ca,and
pramādaḥ,madness
mohaḥ,illusion
eva,certainly
ca,also
tamasi,the mode of ignorance
etāni,these
jāyante,are manifested
vivṛddhe,when developed
kuru-nandana,O son of Kuru.
yadā,when
sattve,the mode of goodness
pravṛddhe,developed
tu,but
pralayam,dissolution
yāti,goes
deha-bhṛt,the embodied
tadā,at that time
uttama-vidām,of the great sages
lokān,the planets
amalān,pure
pratipadyate,attains.
rajasi,in passion
pralayam,dissolution
gatvā,attaining
karma-saṅgiṣu,in the association of those engaged in fruitive activities
jāyate,takes birth
tathā,similarly
pralīnaḥ,being dissolved
tamasi,in ignorance
mūḍha-yoniṣu,in animal species
jāyate,takes birth.
karmaṇaḥ,of work
su-kṛtasya,pious
āhuḥ,is said
sāttvikam,in the mode of goodness
nirmalam,purified
phalam,the result
rajasaḥ,of the mode of passion
tu,but
phalam,the result
duḥkham,misery
ajñānam,nonsense
tamasaḥ,of the mode of ignorance
phalam,the result.
sattvāt,from the mode of goodness
sañjāyate,develops
jñānam,knowledge
rajasaḥ,from the mode of passion
lobhaḥ,greed
eva,certainly
ca,also
pramāda,madness
mohau,and illusion
tamasaḥ,from the mode of ignorance
bhavataḥ,develop
ajñānam,nonsense
eva,certainly
ca,also.
ūrdhvam,upwards
gacchanti,go
sattva-sthāḥ,those situated in the mode of goodness
madhye,in the middle
tiṣṭhanti,dwell
rājasāḥ,those situated in the mode of passion
jaghanya,of abominable
guṇa,quality
vṛtti-sthāḥ,whose occupation
adhaḥ,down
gacchanti,go
tāmasāḥ,persons in the mode of ignorance.
na,no
anyam,other
guṇebhyaḥ,than the qualities
kartāram,performer
yadā,when
draṣṭā,a seer
anupaśyati,sees properly
guṇebhyaḥ,to the modes of nature
ca,and
param,transcendental
vetti,knows
mat-bhāvam,to My spiritual nature
saḥ,he
adhigacchati,is promoted.
guṇān,qualities
etān,all these
atītya,transcending
trīn,three
dehī,the embodied
deha,the body
samudbhavān,produced of
janma,of birth
mṛtyu,death
jarā,and old age
duḥkhaiḥ,the distresses
vimuktaḥ,being freed from
amṛtam,nectar
aśnute,he enjoys.
arjunaḥuvāca,Arjuna said
kaiḥ,by which
liṅgaiḥ,symptoms
trīn,three
guṇān,qualities
etān,all these
atītaḥ,having transcended
bhavati,is
prabho,O my Lord
kim,what
ācāraḥ,behavior
katham,how
ca,also
etān,these
trīn,three
guṇān,qualities
ativartate,transcends.
śrī-bhagavānuvāca,the Supreme Personality of Godhead said
ūrdhva-mūlam,with roots above
adhaḥ,downwards
śākham,branches
aśvattham,a banyan tree
prāhuḥ,is said
avyayam,eternal
chandāṁsi,the Vedic hymns
yasya,of which
parṇāni,the leaves
yaḥ,anyone who
tam,that
veda,knows
saḥ,he
veda-vit,the knower of theVedas.
adhaḥ,downward
ca,and
ūrdhvam,upward
prasṛtāḥ,extended
tasya,its
śākhāḥ,branches
